Semantic Token Name,Palette Swatch,OKLCH Value,sRGB Hex Fallback,Usage Guidelines
surface-page,Neutral-50,oklch(0.9913 0.0013 286.38),#FCFCFD,Primary page background.
surface-primary,Neutral-100,oklch(0.9816 0.0017 247.84),#F8F9FA,Primary raised surface for cards and panels.
surface-secondary,Neutral-200,oklch(0.9417 0.0052 247.88),#E9ECEF,Secondary surface and section backdrops.
surface-disabled,Neutral-200,oklch(0.9417 0.0052 247.88),#E9ECEF,Disabled component surface.
surface-backdrop,Neutral-900,oklch(0.313 0.0171 266.40),#2D313A,Overlay scrim and modal backdrop.
surface-inverse,Neutral-900,oklch(0.313 0.0171 266.40),#2D313A,Inverse surface for dark-on-light treatments.
surface-interactive-default,Primary-500,oklch(0.5631 0.1717 274.55),#5A67D8,Primary action default background.
surface-interactive-hover,Primary-600,oklch(0.5002 0.1462 274.33),#4C58B5,Primary action hover fallback background.
surface-interactive-pressed,Primary-700,oklch(0.434 0.1225 274.42),#3E4893,Primary action pressed fallback background.
border-subtle,Neutral-200,oklch(0.9417 0.0052 247.88),#E9ECEF,Default border for surfaces.
border-strong,Neutral-300,oklch(0.8875 0.0147 264.49),#D5DAE4,High contrast border and dividers.
text-primary,Neutral-900,oklch(0.313 0.0171 266.40),#2D313A,Body copy and primary text.
text-secondary,Neutral-700,oklch(0.5109 0.0264 269.16),#606676,Secondary supporting text.
text-muted,Neutral-600,oklch(0.5595 0.0225 270.01),#6F7482,"Helper copy, captions and tertiary affordances."
text-on-interactive,Neutral-100,oklch(0.9816 0.0017 247.84),#F8F9FA,Text on primary interactive surfaces.
text-disabled,Neutral-400,oklch(0.7951 0.0148 268.46),#B8BCC6,Disabled text.
text-inverse,Neutral-100,oklch(0.9816 0.0017 247.84),#F8F9FA,Text on inverse/dark surfaces.
text-accent,Primary-600,oklch(0.5002 0.1462 274.33),#4C58B5,Accent text for highlights.
icon-primary,Neutral-800,oklch(0.4239 0.021 267.53),#494E5A,Primary iconography.
icon-muted,Neutral-500,oklch(0.6929 0.0198 269.00),#979CA9,Muted/secondary icons.
icon-on-interactive,Neutral-100,oklch(0.9816 0.0017 247.84),#F8F9FA,Icons on primary interactive surfaces.
status-info-surface,Info-100,oklch(0.9685 0.0148 260.73),#EFF5FF,Informational surface background.
status-info-border,Info-300,oklch(0.8191 0.0763 260.81),#A8C5F6,Informational border.
status-info-text,Info-900,oklch(0.3847 0.1344 263.74),#1C3D8A,Informational text.
status-info-icon,Info-700,oklch(0.5466 0.1806 263.48),#3668D8,Informational icon.
status-success-surface,Success-100,oklch(0.9743 0.0192 167.94),#EBFBF4,Success surface background.
status-success-border,Success-300,oklch(0.8671 0.0772 165.25),#A3E4C7,Success border.
status-success-text,Success-900,oklch(0.4315 0.0821 163.04),#185E43,Success text.
status-success-icon,Success-700,oklch(0.6005 0.1199 161.34),#279669,Success icon.
status-warning-surface,Warning-100,oklch(0.9795 0.026 90.09),#FFF8E5,Warning surface background.
status-warning-border,Warning-300,oklch(0.8949 0.1177 87.87),#FDD87D,Warning border.
status-warning-text,Warning-900,oklch(0.4914 0.1012 82.20),#7D5A00,Warning text.
status-warning-icon,Warning-700,oklch(0.6573 0.1198 81.65),#B6892B,Warning icon.
status-critical-surface,Critical-100,oklch(0.9672 0.0163 12.78),#FFF0F1,Critical surface background.
status-critical-border,Critical-300,oklch(0.824 0.0834 19.01),#F7B0B0,Critical border.
status-critical-text,Critical-900,oklch(0.465 0.147 24.94),#9B2C2C,Critical text.
status-critical-icon,Critical-700,oklch(0.6039 0.1827 24.43),#D94747,Critical icon.
status-accent-surface,Accent-100,oklch(0.9563 0.0277 225.69),#DEF5FF,Accent surface background.
status-accent-border,Accent-300,oklch(0.5631 0.1717 274.55),#5A67D8,Accent border.
status-accent-text,Accent-500,oklch(0.434 0.1225 274.42),#3E4893,Accent text.
status-accent-icon,Accent-400,oklch(0.5002 0.1462 274.33),#4C58B5,Accent icon.
status-neutral-surface,Neutral-100,oklch(0.9816 0.0017 247.84),#F8F9FA,Neutral status surface.
status-neutral-border,Neutral-300,oklch(0.8875 0.0147 264.49),#D5DAE4,Neutral status border.
status-neutral-text,Neutral-800,oklch(0.4239 0.021 267.53),#494E5A,Neutral status text.
status-neutral-icon,Neutral-700,oklch(0.5109 0.0264 269.16),#606676,Neutral status icon.
focus-ring-outer,Neutral-900,oklch(0.313 0.0171 266.40),#2D313A,Outer focus outline.
focus-ring-inner,Neutral-100,oklch(0.9816 0.0017 247.84),#F8F9FA,Inner focus outline.
focus-text,Primary-600,oklch(0.5002 0.1462 274.33),#4C58B5,Focus text/indicator colour.
